number,value,datetime_start,datetime_complete,duration,params_PPO_n_steps,params_ent_coef,params_gamma,params_learning_rate,state
65,-0.7,2023-12-12 03:56:57.949640,2023-12-12 03:59:17.523202,0 days 00:02:19.573562,576,0.0010038093081153792,0.9509122691954175,0.00045936817196994375,COMPLETE
66,-0.0,2023-12-12 03:59:17.532205,2023-12-12 04:01:37.469968,0 days 00:02:19.937763,512,1.520776418978981e-05,0.9585109134959091,0.00025965033325653586,COMPLETE
67,-0.0,2023-12-12 04:01:37.478043,2023-12-12 04:03:58.556822,0 days 00:02:21.078779,448,0.00022470255986956688,0.9545312134157219,0.00017504359630991334,COMPLETE
68,-0.6,2023-12-12 04:03:58.564937,2023-12-12 04:06:19.273301,0 days 00:02:20.708364,640,0.00015188519072306284,0.9619586207055845,0.0003351770814442036,COMPLETE
69,-0.6,2023-12-12 04:06:19.279306,2023-12-12 04:08:38.589230,0 days 00:02:19.309924,960,0.0005595721065089222,0.969438497536473,0.00036697535679624686,COMPLETE
70,-0.2,2023-12-12 04:08:38.597233,2023-12-12 04:10:58.210460,0 days 00:02:19.613227,576,0.00042765393976869576,0.949240716529542,0.0008053604051538514,COMPLETE
71,-0.3,2023-12-12 04:10:58.219461,2023-12-12 04:13:18.281122,0 days 00:02:20.061661,704,7.080349521365175e-05,0.9551958126484807,0.0006177792655260215,COMPLETE
72,-0.3,2023-12-12 04:13:18.290124,2023-12-12 04:15:40.137801,0 days 00:02:21.847677,320,0.00025522071615476604,0.9458771768286699,0.0030114732879827793,COMPLETE
73,-0.2,2023-12-12 04:15:40.146314,2023-12-12 04:17:59.967711,0 days 00:02:19.821397,768,0.00038924149620344674,0.9513070045663935,0.0012802918614636964,COMPLETE
74,-0.8,2023-12-12 04:17:59.974712,2023-12-12 04:20:19.066464,0 days 00:02:19.091752,896,0.0003002296203422978,0.9401513249649863,0.0010081845806909863,COMPLETE
75,-0.5,2023-12-12 04:20:19.074586,2023-12-12 04:22:38.432404,0 days 00:02:19.357818,896,0.00034489045885118083,0.9644890507635342,0.000964924558549544,COMPLETE
76,-0.1,2023-12-12 04:22:38.440406,2023-12-12 04:24:57.392570,0 days 00:02:18.952164,896,1.3127207541837233e-05,0.9396078206662936,0.00048622546022336556,COMPLETE
77,-0.7,2023-12-12 04:24:57.400574,2023-12-12 04:27:17.031934,0 days 00:02:19.631360,896,0.0001695612707496418,0.9436105527203921,0.0005159724954861339,COMPLETE
78,-0.3,2023-12-12 04:27:17.039445,2023-12-12 04:29:36.787877,0 days 00:02:19.748432,512,2.201125692691731e-05,0.9609005354070258,0.0003788610275422586,COMPLETE
79,-0.3,2023-12-12 04:29:36.796879,2023-12-12 04:31:56.627794,0 days 00:02:19.830915,576,4.1622836424281144e-05,0.9568644902292163,0.000697578905219464,COMPLETE
80,-0.7,2023-12-12 04:31:56.635797,2023-12-12 04:34:17.471153,0 days 00:02:20.835356,384,0.00021156574333257053,0.9493221708612494,0.0015919640825220703,COMPLETE
81,-0.3,2023-12-12 04:34:17.480157,2023-12-12 04:36:37.071854,0 days 00:02:19.591697,1024,0.00030341428849895254,0.9404731542520949,0.005675947454894986,COMPLETE
82,-0.0,2023-12-12 04:36:37.079934,2023-12-12 04:39:00.928871,0 days 00:02:23.848937,128,1.0035901091567491e-05,0.936910044006503,0.0037190247923938858,COMPLETE
83,-0.7,2023-12-12 04:39:00.936873,2023-12-12 04:41:21.103222,0 days 00:02:20.166349,704,0.00013891371546359915,0.9472284670083605,0.001934430955893131,COMPLETE
84,-0.4,2023-12-12 04:41:21.111223,2023-12-12 04:43:40.952041,0 days 00:02:19.840818,832,0.0004759440914811846,0.9523632318116714,0.002547384420402517,COMPLETE
85,-0.1,2023-12-12 04:43:40.960085,2023-12-12 04:46:01.343433,0 days 00:02:20.383348,896,0.00026267307478898116,0.942545723602859,0.0011640936456267165,COMPLETE
86,-0.7,2023-12-12 04:46:01.351436,2023-12-12 04:48:20.906041,0 days 00:02:19.554605,576,0.00012223676020014896,0.9604969894176574,0.0004210488782443971,COMPLETE
87,-0.4,2023-12-12 04:48:20.917043,2023-12-12 04:50:39.673140,0 days 00:02:18.756097,1024,0.0007642093878892918,0.9537842419582157,0.0046943318032748975,COMPLETE
88,-0.8,2023-12-12 04:50:39.681144,2023-12-12 04:52:59.496761,0 days 00:02:19.815617,512,0.00021363128192418966,0.9457253400313228,0.0005419477343495971,COMPLETE
89,-0.4,2023-12-12 04:52:59.503762,2023-12-12 04:55:19.901257,0 days 00:02:20.397495,512,0.00020938000570501332,0.9444971445796935,0.0008613209773992226,COMPLETE
90,-0.4,2023-12-12 04:55:19.908300,2023-12-12 04:57:39.321284,0 days 00:02:19.412984,512,3.5542682739056296e-05,0.9595430453227263,0.00066418485397814,COMPLETE
91,-0.4,2023-12-12 04:57:39.329286,2023-12-12 04:59:59.406946,0 days 00:02:20.077660,512,0.00032774928425414215,0.9492924513003296,0.0005704567261421861,COMPLETE
92,-0.8,2023-12-12 04:59:59.414096,2023-12-12 05:02:22.255932,0 days 00:02:22.841836,256,0.00024854514257821554,0.9561658402572076,0.0005174966955749983,COMPLETE
93,-0.5,2023-12-12 05:02:22.263975,2023-12-12 05:04:44.748798,0 days 00:02:22.484823,256,0.00018300935432908572,0.9566902593264269,0.0005302496157308957,COMPLETE
94,-0.0,2023-12-12 05:04:44.757801,2023-12-12 05:07:08.178228,0 days 00:02:23.420427,256,9.344147743303239e-05,0.9641884749315379,0.0004333144868610915,COMPLETE
95,-0.4,2023-12-12 05:07:08.187230,2023-12-12 05:09:30.650657,0 days 00:02:22.463427,256,0.0004758071151747761,0.9674424590319484,0.0006167242668548384,COMPLETE
96,-0.7,2023-12-12 05:09:30.659660,2023-12-12 05:11:50.867615,0 days 00:02:20.207955,576,0.00013052268340912825,0.9556272620726352,0.0007212589974165279,COMPLETE
97,-0.6,2023-12-12 05:11:50.874616,2023-12-12 05:14:15.161145,0 days 00:02:24.286529,64,0.0006747148703988918,0.9534693412822329,0.0003660947391285782,COMPLETE
98,-0.4,2023-12-12 05:14:15.168147,2023-12-12 05:16:36.192995,0 days 00:02:21.024848,960,0.0010249196701750808,0.9463732262759522,0.001005825545753733,COMPLETE
99,-0.4,2023-12-12 05:16:36.201998,2023-12-12 05:18:56.192384,0 days 00:02:19.990386,640,0.0003037000529173336,0.9581289109675386,0.0005374303108584597,COMPLETE
