number,value,datetime_start,datetime_complete,duration,params_PPO_n_steps,params_ent_coef,params_gamma,params_learning_rate,state
56,191.4,2023-12-12 11:16:10.295287,2023-12-12 11:18:29.773808,0 days 00:02:19.478521,384,0.06019096377597024,0.9640521029155293,0.009485670787205695,COMPLETE
57,145.5,2023-12-12 11:18:29.781809,2023-12-12 11:20:47.434338,0 days 00:02:17.652529,1024,0.02850705975023662,0.9887631412679126,0.0035006569598506876,COMPLETE
58,200.0,2023-12-12 11:20:47.441339,2023-12-12 11:23:05.707265,0 days 00:02:18.265926,896,0.012143915859090323,0.9696297987507131,0.004712025882112446,COMPLETE
59,200.0,2023-12-12 11:23:05.716267,2023-12-12 11:25:34.376231,0 days 00:02:28.659964,640,0.019152235257597426,0.9739893671892575,0.0027045105088102915,COMPLETE
60,141.7,2023-12-12 11:25:34.386276,2023-12-12 11:27:59.593979,0 days 00:02:25.207703,768,0.012192002980973494,0.9798003707196395,0.0019107686893488104,COMPLETE
61,116.4,2023-12-12 11:27:59.602979,2023-12-12 11:30:25.844672,0 days 00:02:26.241693,640,0.00846347262801325,0.9829477347390811,0.005091769141696204,COMPLETE
62,200.0,2023-12-12 11:30:25.855676,2023-12-12 11:32:51.706157,0 days 00:02:25.850481,640,0.018632093913865416,0.984466302484198,0.00736721035500736,COMPLETE
63,200.0,2023-12-12 11:32:51.715793,2023-12-12 11:35:22.160305,0 days 00:02:30.444512,256,0.007899930245513883,0.9871156404952869,0.0054433314532632785,COMPLETE
64,164.4,2023-12-12 11:35:22.168308,2023-12-12 11:37:48.107956,0 days 00:02:25.939648,640,0.03390689986873449,0.9783996926028949,0.0037527015570384863,COMPLETE
65,200.0,2023-12-12 11:37:48.114963,2023-12-12 11:40:19.685434,0 days 00:02:31.570471,384,0.009222393106625818,0.9831335200912128,0.0025066593291108515,COMPLETE
66,200.0,2023-12-12 11:40:19.693436,2023-12-12 11:42:57.544576,0 days 00:02:37.851140,640,0.004806820969742171,0.9894003654905865,0.004843900385904715,COMPLETE
67,200.0,2023-12-12 11:42:57.556918,2023-12-12 11:45:46.447442,0 days 00:02:48.890524,576,0.014162467278370719,0.9578071863345687,0.003314936353850981,COMPLETE
68,200.0,2023-12-12 11:45:46.455446,2023-12-12 11:48:53.991933,0 days 00:03:07.536487,384,0.0025898775748207457,0.9710046422577711,0.0013384846407214499,COMPLETE
69,136.1,2023-12-12 11:48:54.001445,2023-12-12 11:52:09.355587,0 days 00:03:15.354142,704,0.0036421550967744467,0.9744821605259723,0.008511187307871093,COMPLETE
70,200.0,2023-12-12 11:52:09.366230,2023-12-12 11:55:38.780246,0 days 00:03:29.414016,64,0.0057067993605906305,0.9972507694237721,0.0018718632789108615,COMPLETE
71,131.3,2023-12-12 11:55:38.790444,2023-12-12 11:58:57.436773,0 days 00:03:18.646329,640,0.009961028631665113,0.9806137864030907,0.004333495529174408,COMPLETE
72,140.3,2023-12-12 11:58:57.446912,2023-12-12 12:02:12.731970,0 days 00:03:15.285058,640,0.0083971080549517,0.9873157399316819,0.006574742697874862,COMPLETE
73,200.0,2023-12-12 12:02:12.741200,2023-12-12 12:05:27.861545,0 days 00:03:15.120345,640,0.017022088238754302,0.9767125080809828,0.0031303119872016175,COMPLETE
74,121.7,2023-12-12 12:05:27.872133,2023-12-12 12:08:36.358332,0 days 00:03:08.486199,448,0.004998345790950781,0.9833948346774157,0.0024580383014780314,COMPLETE
75,115.0,2023-12-12 12:08:36.367624,2023-12-12 12:11:48.016999,0 days 00:03:11.649375,448,0.005605878978902916,0.9932385682926228,0.002180242178140293,COMPLETE
76,150.3,2023-12-12 12:11:48.027522,2023-12-12 12:15:00.240685,0 days 00:03:12.213163,448,0.005328493900416855,0.9927538605620227,0.0025756253587439926,COMPLETE
77,122.9,2023-12-12 12:15:00.251923,2023-12-12 12:18:16.283734,0 days 00:03:16.031811,448,0.00731521759391185,0.991184329941936,0.005380793339599753,COMPLETE
78,200.0,2023-12-12 12:18:16.293264,2023-12-12 12:21:26.754645,0 days 00:03:10.461381,448,0.0029219337412271246,0.984251990374476,0.002265742035622044,COMPLETE
79,112.6,2023-12-12 12:21:26.762157,2023-12-12 12:24:08.718357,0 days 00:02:41.956200,448,0.0038642281991436303,0.9937071064597598,0.004155179072701732,COMPLETE
80,200.0,2023-12-12 12:24:08.728044,2023-12-12 12:26:57.047650,0 days 00:02:48.319606,192,0.003858304552260712,0.998738392232151,0.00423639823126214,COMPLETE
81,200.0,2023-12-12 12:26:57.055612,2023-12-12 12:29:35.600347,0 days 00:02:38.544735,448,0.005392981358042883,0.994927225025396,0.0035682409676713704,COMPLETE
82,132.0,2023-12-12 12:29:35.609371,2023-12-12 12:32:18.203606,0 days 00:02:42.594235,448,0.004393630131701473,0.9819624341336174,0.005154561617293338,COMPLETE
83,126.7,2023-12-12 12:32:18.212453,2023-12-12 12:35:04.103222,0 days 00:02:45.890769,448,0.0019376430564792527,0.9900801060180731,0.0026946477264123783,COMPLETE
84,200.0,2023-12-12 12:35:04.111870,2023-12-12 12:37:39.899425,0 days 00:02:35.787555,960,0.011467059169495005,0.9928065316920872,0.006343660411014193,COMPLETE
85,141.3,2023-12-12 12:37:39.908335,2023-12-12 12:40:16.925390,0 days 00:02:37.017055,448,0.006654787015468316,0.9870886280022559,0.0032591075337926947,COMPLETE
86,200.0,2023-12-12 12:40:16.934916,2023-12-12 12:42:57.096952,0 days 00:02:40.162036,448,0.0038129249482679655,0.9794461567102393,0.0021388003275769675,COMPLETE
87,132.9,2023-12-12 12:42:57.104316,2023-12-12 12:45:39.381175,0 days 00:02:42.276859,320,0.00285260515444632,0.9841460986105237,0.004594887264076414,COMPLETE
88,155.2,2023-12-12 12:45:39.390706,2023-12-12 12:48:16.567260,0 days 00:02:37.176554,832,0.007939510291539135,0.9992788159849287,0.00419090964204758,COMPLETE
89,200.0,2023-12-12 12:48:16.626681,2023-12-12 12:50:49.450444,0 days 00:02:32.823763,512,0.012866951058449878,0.9948020451941201,0.0018226182467471813,COMPLETE
90,120.8,2023-12-12 12:50:49.458449,2023-12-12 12:53:15.434854,0 days 00:02:25.976405,1024,0.005996482493358463,0.9766894267234045,0.0023767878178780556,COMPLETE
91,200.0,2023-12-12 12:53:15.444871,2023-12-12 12:55:41.293243,0 days 00:02:25.848372,1024,0.0056685049452587346,0.9759091462468558,0.001392918003641449,COMPLETE
92,184.0,2023-12-12 12:55:41.303247,2023-12-12 12:58:01.328603,0 days 00:02:20.025356,1024,0.009362119183048903,0.9726426560941672,0.0028745248474706274,COMPLETE
93,200.0,2023-12-12 12:58:01.337606,2023-12-12 13:00:26.042511,0 days 00:02:24.704905,128,0.0031303994501658498,0.9826421664594568,0.0016740875855250684,COMPLETE
94,151.7,2023-12-12 13:00:26.053513,2023-12-12 13:02:46.648069,0 days 00:02:20.594556,1024,0.004489341267193958,0.9877349158326598,0.002230202220327085,COMPLETE
95,134.9,2023-12-12 13:02:46.658071,2023-12-12 13:05:08.931650,0 days 00:02:22.273579,768,0.00656859164015006,0.9783026264858944,0.003363094239038075,COMPLETE
96,159.2,2023-12-12 13:05:08.941652,2023-12-12 13:07:32.062201,0 days 00:02:23.120549,896,0.01672737276193715,0.9851427196307105,0.005715937115866003,COMPLETE
97,157.8,2023-12-12 13:07:32.071206,2023-12-12 13:09:58.020763,0 days 00:02:25.949557,256,0.010622790037207432,0.9902743634821685,0.0037837211774326917,COMPLETE
98,128.5,2023-12-12 13:09:58.030766,2023-12-12 13:12:21.109530,0 days 00:02:23.078764,640,0.008244491806983091,0.9815691541420377,0.002949400130924824,COMPLETE
99,200.0,2023-12-12 13:12:21.118532,2023-12-12 13:14:44.071871,0 days 00:02:22.953339,576,0.005078907430776838,0.9685591443574538,0.002522267650129327,COMPLETE
