number,value,datetime_start,datetime_complete,duration,params_A2C_n_steps,params_gamma,params_learning_rate,params_vf_coef,state
54,-0.1,2023-12-12 06:32:45.265039,2023-12-12 06:34:04.058998,0 days 00:01:18.793959,203,0.992255408720354,0.0004615354149613722,0.4707439440615083,COMPLETE
55,-0.2,2023-12-12 06:34:04.066000,2023-12-12 06:36:20.804413,0 days 00:02:16.738413,6,0.9844327011751998,0.0007837860066423711,0.38856147225752136,COMPLETE
56,-0.5,2023-12-12 06:36:20.812542,2023-12-12 06:37:40.540946,0 days 00:01:19.728404,129,0.9733291289381694,0.001318606840656684,0.4401394052746268,COMPLETE
57,-0.2,2023-12-12 06:37:40.548948,2023-12-12 06:39:12.635520,0 days 00:01:32.086572,24,0.9792816726229963,0.0009721458426003292,0.14676597639847147,COMPLETE
58,-0.9,2023-12-12 06:39:12.643522,2023-12-12 06:40:31.173435,0 days 00:01:18.529913,171,0.9886280113329307,0.002117352791376143,0.4868112683910373,COMPLETE
59,-0.0,2023-12-12 06:40:31.181436,2023-12-12 06:41:50.012069,0 days 00:01:18.830633,171,0.9858388458167918,0.001994003835757377,0.48970972780909433,COMPLETE
60,-0.8,2023-12-12 06:41:50.019216,2023-12-12 06:43:08.423735,0 days 00:01:18.404519,228,0.9952786869124229,0.0025079166835313567,0.47493538194481644,COMPLETE
61,-0.4,2023-12-12 06:43:08.431737,2023-12-12 06:44:32.220039,0 days 00:01:23.788302,224,0.9942980676081086,0.003709490573955865,0.47464332335834947,COMPLETE
62,-0.8,2023-12-12 06:44:32.230038,2023-12-12 06:45:52.317478,0 days 00:01:20.087440,245,0.9997532191676161,0.002498230920897445,0.49315974001331886,COMPLETE
63,-0.2,2023-12-12 06:45:52.325482,2023-12-12 06:47:10.695755,0 days 00:01:18.370273,255,0.9990708683379147,0.002386357135405052,0.49958938283468685,COMPLETE
64,-0.4,2023-12-12 06:47:10.702884,2023-12-12 06:48:28.756063,0 days 00:01:18.053179,307,0.9967341085326563,0.002899935361598253,0.4866113878027619,COMPLETE
65,-0.2,2023-12-12 06:48:28.763065,2023-12-12 06:49:46.764667,0 days 00:01:18.001602,279,0.9997758615229977,0.001426409880775837,0.4573974887052915,COMPLETE
66,-0.1,2023-12-12 06:49:46.771669,2023-12-12 06:51:04.875903,0 days 00:01:18.104234,272,0.990104201608021,0.0035604509998273595,0.4796744260443157,COMPLETE
67,-0.6,2023-12-12 06:51:04.882906,2023-12-12 06:52:23.347353,0 days 00:01:18.464447,235,0.9939199218614885,0.0017966051540238182,0.47053723924361807,COMPLETE
68,-0.2,2023-12-12 06:52:23.355355,2023-12-12 06:53:41.853308,0 days 00:01:18.497953,185,0.9829131902875844,0.002322666389780865,0.4546135510672401,COMPLETE
69,-0.0,2023-12-12 06:53:41.860309,2023-12-12 06:55:00.730276,0 days 00:01:18.869967,202,0.9963855348778538,0.006089080639631513,0.4880214306140654,COMPLETE
70,-0.0,2023-12-12 06:55:00.738278,2023-12-12 06:56:19.832145,0 days 00:01:19.093867,214,0.988731798106761,0.0040807768160285775,0.4477107093907537,COMPLETE
71,-0.1,2023-12-12 06:56:19.840147,2023-12-12 06:57:38.098633,0 days 00:01:18.258486,249,0.9920832064417988,0.0012600784895663527,0.4789991946910686,COMPLETE
72,-0.9,2023-12-12 06:57:38.106639,2023-12-12 06:58:54.973607,0 days 00:01:16.866968,321,0.9861141556875304,0.0015825974418171307,0.46737599027873367,COMPLETE
73,-0.6,2023-12-12 06:58:54.981609,2023-12-12 07:00:11.796973,0 days 00:01:16.815364,319,0.9865997941251173,0.002750166549509578,0.4680824008744332,COMPLETE
74,-0.2,2023-12-12 07:00:11.804975,2023-12-12 07:01:28.171400,0 days 00:01:16.366425,375,0.9845923966227017,0.0019517298595105982,0.4921657945754199,COMPLETE
75,-0.0,2023-12-12 07:01:28.178404,2023-12-12 07:02:45.378339,0 days 00:01:17.199935,313,0.9920716599888024,0.0014746696175595385,0.46750694615963523,COMPLETE
76,-0.9,2023-12-12 07:02:45.385341,2023-12-12 07:04:02.137179,0 days 00:01:16.751838,346,0.9790098221864021,0.002222859445839068,0.4448718959558241,COMPLETE
77,-0.7,2023-12-12 07:04:02.145181,2023-12-12 07:05:19.317411,0 days 00:01:17.172230,357,0.9877263941251556,0.0024703733912182706,0.45183332647058594,COMPLETE
78,-0.1,2023-12-12 07:05:19.324413,2023-12-12 07:06:35.261791,0 days 00:01:15.937378,416,0.9966357567420442,0.0016979819630049155,0.48786455937855633,COMPLETE
79,-0.3,2023-12-12 07:06:35.270793,2023-12-12 07:07:51.367600,0 days 00:01:16.096807,398,0.9790551654310031,0.001150979452898967,0.4345601741381492,COMPLETE
80,-0.1,2023-12-12 07:07:51.376156,2023-12-12 07:09:06.894709,0 days 00:01:15.518553,457,0.9820805968909834,0.0031747552878675688,0.4443593706158755,COMPLETE
81,-0.8,2023-12-12 07:09:06.903710,2023-12-12 07:10:23.900437,0 days 00:01:16.996727,328,0.989498333465282,0.001998675505504644,0.4686659482371996,COMPLETE
82,-0.9,2023-12-12 07:10:23.907438,2023-12-12 07:11:40.818462,0 days 00:01:16.911024,331,0.9895076244751255,0.0021079447723844043,0.4653402342630699,COMPLETE
83,-0.7,2023-12-12 07:11:40.826468,2023-12-12 07:12:57.518989,0 days 00:01:16.692521,352,0.9856067997596958,0.0014343533693253242,0.4999731145113055,COMPLETE
84,-0.4,2023-12-12 07:12:57.526991,2023-12-12 07:14:15.378064,0 days 00:01:17.851073,288,0.9940356494433706,0.0027662102278641614,0.47934351291440624,COMPLETE
85,-0.2,2023-12-12 07:14:15.387065,2023-12-12 07:15:33.791827,0 days 00:01:18.404762,267,0.9913475039047766,0.0022936526752514487,0.46446959969956786,COMPLETE
