number,value,datetime_start,datetime_complete,duration,params_exploration_fraction,params_gamma,params_learning_rate,params_target_update_interval,state
47,-249.9,2023-12-12 00:40:29.938380,2023-12-12 00:41:19.919298,0 days 00:00:49.980918,0.45013014317457345,0.9282477270235064,0.00012821093688512544,1999,COMPLETE
48,-252.4,2023-12-12 00:41:19.927301,2023-12-12 00:42:10.346130,0 days 00:00:50.418829,0.499775552526814,0.9370395744454764,7.250724229258795e-05,802,COMPLETE
49,-176.6,2023-12-12 00:42:10.354189,2023-12-12 00:42:59.953937,0 days 00:00:49.599748,0.46047566520309446,0.9215418357203262,0.000181493469839909,1835,COMPLETE
50,-149.6,2023-12-12 00:42:59.961939,2023-12-12 00:43:49.715818,0 days 00:00:49.753879,0.40353343024839344,0.9279876519513915,0.0003807770621694947,1615,COMPLETE
51,-239.7,2023-12-12 00:43:49.723888,2023-12-12 00:44:39.654845,0 days 00:00:49.930957,0.47927730362131804,0.9168218225296733,0.00015687861116659538,1705,COMPLETE
52,-219.5,2023-12-12 00:44:39.664022,2023-12-12 00:45:30.533675,0 days 00:00:50.869653,0.47096475742751187,0.9214113767652227,0.0002101804549033131,1791,COMPLETE
53,-117.8,2023-12-12 00:45:30.544186,2023-12-12 00:46:20.229454,0 days 00:00:49.685268,0.4465481251189496,0.9329451626361148,0.00011197556407300513,1902,COMPLETE
54,-183.9,2023-12-12 00:46:20.236454,2023-12-12 00:47:10.213152,0 days 00:00:49.976698,0.4845827978335898,0.9142363781719813,0.000262501007096646,1544,COMPLETE
55,-212.3,2023-12-12 00:47:10.220154,2023-12-12 00:48:00.572293,0 days 00:00:50.352139,0.42151006800854235,0.9184538387616309,0.00016193082545464617,1721,COMPLETE
56,-160.1,2023-12-12 00:48:00.580294,2023-12-12 00:48:50.264101,0 days 00:00:49.683807,0.48755993226206085,0.9255049497051699,9.404016095582767e-05,1618,COMPLETE
57,-162.7,2023-12-12 00:48:50.272103,2023-12-12 00:49:39.831618,0 days 00:00:49.559515,0.46785331922258144,0.9374739363725887,0.00014199965131232885,1158,COMPLETE
58,-190.0,2023-12-12 00:49:39.840709,2023-12-12 00:50:29.769750,0 days 00:00:49.929041,0.39784078832297787,0.9128077329683497,0.0003105709453301314,1811,COMPLETE
59,-183.9,2023-12-12 00:50:29.848006,2023-12-12 00:51:19.636963,0 days 00:00:49.788957,0.4175289541170683,0.9304127813874284,0.000198058009103567,1959,COMPLETE
60,-179.8,2023-12-12 00:51:19.646101,2023-12-12 00:52:09.644982,0 days 00:00:49.998881,0.3820469095517458,0.9082394249139112,0.0002615062626861486,1506,COMPLETE
61,-10.6,2023-12-12 00:52:09.651984,2023-12-12 00:52:59.271276,0 days 00:00:49.619292,0.4938359800363461,0.935650115033407,6.69241673745015e-05,851,COMPLETE
62,-114.6,2023-12-12 00:52:59.280373,2023-12-12 00:53:48.992887,0 days 00:00:49.712514,0.4889382309434005,0.9406823242328392,0.00012442727774061865,953,COMPLETE
63,-237.7,2023-12-12 00:53:48.999917,2023-12-12 00:54:38.970920,0 days 00:00:49.971003,0.4988317406492484,0.9314825810854312,9.49807136827716e-05,695,COMPLETE
64,-210.9,2023-12-12 00:54:38.977922,2023-12-12 00:55:29.465403,0 days 00:00:50.487481,0.4574138628581292,0.9219351064729845,7.649649813908302e-05,647,COMPLETE
65,-211.3,2023-12-12 00:55:29.472436,2023-12-12 00:56:19.143129,0 days 00:00:49.670693,0.43964091065516,0.9455288797305783,0.00016066039716104407,1770,COMPLETE
66,-207.7,2023-12-12 00:56:19.364591,2023-12-12 00:57:09.323624,0 days 00:00:49.959033,0.46976282335470104,0.9178931633290169,0.00022463966728203903,1300,COMPLETE
67,-209.5,2023-12-12 00:57:09.333625,2023-12-12 00:57:59.097096,0 days 00:00:49.763471,0.4313442399815005,0.9370567493588788,0.00012335308907852554,547,COMPLETE
68,-241.9,2023-12-12 00:57:59.105145,2023-12-12 00:58:49.136859,0 days 00:00:50.031714,0.45394693390748614,0.9263899272572591,5.478997886632567e-05,1678,COMPLETE
69,-195.2,2023-12-12 00:58:49.143860,2023-12-12 00:59:38.934197,0 days 00:00:49.790337,0.40926683775410866,0.9234908820388535,0.00045238579076734285,997,COMPLETE
70,-212.3,2023-12-12 00:59:38.941201,2023-12-12 01:00:29.301708,0 days 00:00:50.360507,0.4997249606282804,0.930004633797205,7.070123086616184e-05,1884,COMPLETE
71,-279.5,2023-12-12 01:00:29.308758,2023-12-12 01:01:19.636911,0 days 00:00:50.328153,0.44301777188743496,0.9281877642614857,0.0001425698673533208,1961,COMPLETE
72,-198.2,2023-12-12 01:01:19.643913,2023-12-12 01:02:09.834415,0 days 00:00:50.190502,0.4807783250267506,0.9195114954641099,0.00019525780296918285,1928,COMPLETE
73,-225.4,2023-12-12 01:02:09.857446,2023-12-12 01:02:59.420955,0 days 00:00:49.563509,0.4461983078983198,0.9322185116524462,0.00014827690910464551,1974,COMPLETE
74,-209.2,2023-12-12 01:02:59.429574,2023-12-12 01:03:49.290210,0 days 00:00:49.860636,0.4684464805396754,0.923621953250849,0.00010745721558818916,741,COMPLETE
75,-241.7,2023-12-12 01:03:49.297215,2023-12-12 01:04:39.025124,0 days 00:00:49.727909,0.4339698882873989,0.9137405357206764,0.00025388545892648213,1817,COMPLETE
76,-205.0,2023-12-12 01:04:39.033129,2023-12-12 01:05:29.589424,0 days 00:00:50.556295,0.4610086201929317,0.9351480313642487,0.0003298922455452899,1750,COMPLETE
77,-244.6,2023-12-12 01:05:29.596428,2023-12-12 01:06:19.510295,0 days 00:00:49.913867,0.48064003702319114,0.9266949103320148,8.073053742865012e-05,1888,COMPLETE
78,-245.7,2023-12-12 01:06:19.518387,2023-12-12 01:07:09.035555,0 days 00:00:49.517168,0.427067486215586,0.9098617714108147,0.00018608611387856667,1616,COMPLETE
79,-165.3,2023-12-12 01:07:09.043616,2023-12-12 01:07:58.231724,0 days 00:00:49.188108,0.443402113093371,0.9288724111882019,0.00013646957140034114,1695,COMPLETE
80,-172.5,2023-12-12 01:07:58.239820,2023-12-12 01:08:47.676782,0 days 00:00:49.436962,0.4142528885991164,0.9208407997553368,0.00010844217220144066,1380,COMPLETE
81,-254.0,2023-12-12 01:08:47.684822,2023-12-12 01:09:37.401198,0 days 00:00:49.716376,0.45347489996855533,0.9276042327014764,0.00013658759853168553,1978,COMPLETE
82,-192.6,2023-12-12 01:09:37.409288,2023-12-12 01:10:27.007765,0 days 00:00:49.598477,0.45472564941790544,0.9168298527568585,0.0001637356482016558,1984,COMPLETE
83,-189.3,2023-12-12 01:10:27.014770,2023-12-12 01:11:16.465289,0 days 00:00:49.450519,0.4731155585339842,0.9239570882094498,0.00022140374110780995,1941,COMPLETE
84,-174.4,2023-12-12 01:11:16.472343,2023-12-12 01:12:05.870409,0 days 00:00:49.398066,0.4892875269150042,0.9304174492331954,0.00014025680295794127,1861,COMPLETE
85,-217.6,2023-12-12 01:12:05.878026,2023-12-12 01:12:55.839859,0 days 00:00:49.961833,0.4667134999493605,0.9272334606202045,0.0002832863467278216,1182,COMPLETE
86,-212.7,2023-12-12 01:12:55.846863,2023-12-12 01:13:45.694956,0 days 00:00:49.848093,0.44004850395249523,0.9205260882120918,0.0001816316842975169,1528,COMPLETE
87,-206.7,2023-12-12 01:13:45.701958,2023-12-12 01:14:35.098709,0 days 00:00:49.396751,0.450228606528964,0.9331221229705169,9.33812170032604e-05,1645,COMPLETE
88,-191.8,2023-12-12 01:14:35.107711,2023-12-12 01:15:26.953461,0 days 00:00:51.845750,0.42064575056504666,0.925206276433166,0.00011153297128810558,1799,COMPLETE
89,-161.7,2023-12-12 01:15:26.960463,2023-12-12 01:16:16.983589,0 days 00:00:50.023126,0.48945337610707723,0.9148497782907308,0.00022816887081588793,1451,COMPLETE
90,-190.7,2023-12-12 01:16:16.991636,2023-12-12 01:17:06.917654,0 days 00:00:49.926018,0.4623554443162546,0.9116060066065248,0.00036411100193042964,1588,COMPLETE
91,-259.1,2023-12-12 01:17:06.925654,2023-12-12 01:17:56.835273,0 days 00:00:49.909619,0.44872937351357456,0.9282776383397201,0.0001351666692577507,1903,COMPLETE
92,-177.7,2023-12-12 01:17:56.842275,2023-12-12 01:18:46.899834,0 days 00:00:50.057559,0.4776719522304583,0.9284580613483426,0.0001441901384467601,1996,COMPLETE
93,-304.0,2023-12-12 01:18:46.908341,2023-12-12 01:19:36.748803,0 days 00:00:49.840462,0.4292913145943175,0.9219347280391442,0.00017413261763797594,1911,COMPLETE
94,-249.5,2023-12-12 01:19:36.756806,2023-12-12 01:20:26.598996,0 days 00:00:49.842190,0.4276309403241748,0.9225892830791285,0.00017496333021010387,1917,COMPLETE
95,-162.7,2023-12-12 01:20:26.610998,2023-12-12 01:21:16.034444,0 days 00:00:49.423446,0.4044885694614544,0.9191637655907531,0.0002020679243194177,1836,COMPLETE
96,-224.7,2023-12-12 01:21:16.041444,2023-12-12 01:22:05.994512,0 days 00:00:49.953068,0.4341793039782044,0.9173902104656443,0.0001272831561547528,1890,COMPLETE
97,-263.5,2023-12-12 01:22:06.002515,2023-12-12 01:22:55.813808,0 days 00:00:49.811293,0.4441994587550309,0.915726001942567,0.0002769567199976221,1960,COMPLETE
98,-199.7,2023-12-12 01:22:55.821809,2023-12-12 01:23:45.402111,0 days 00:00:49.580302,0.4442050081439779,0.9135514633214235,0.00027452004656808716,1938,COMPLETE
99,-229.3,2023-12-12 01:23:45.409112,2023-12-12 01:24:35.272482,0 days 00:00:49.863370,0.42446439803846175,0.907683973335818,0.00023333110185194743,1957,COMPLETE
