number,value,datetime_start,datetime_complete,duration,params_exploration_fraction,params_gamma,params_learning_rate,params_target_update_interval,state
61,-0.6,2023-12-12 08:29:15.744037,2023-12-12 08:30:10.355795,0 days 00:00:54.611758,0.16998789117668295,0.9639435369382078,0.00013533767192255278,941,COMPLETE
62,-0.6,2023-12-12 08:30:10.363874,2023-12-12 08:31:04.646510,0 days 00:00:54.282636,0.14969157000168354,0.9701725018948217,0.00034309286464148447,1122,COMPLETE
63,-0.7,2023-12-12 08:31:04.654541,2023-12-12 08:31:59.369540,0 days 00:00:54.714999,0.19017838398422815,0.9577290889237091,0.00021405959705075655,979,COMPLETE
64,-0.7,2023-12-12 08:31:59.376541,2023-12-12 08:32:53.762614,0 days 00:00:54.386073,0.19177801751627419,0.9578672932963663,0.00021567888881122437,1060,COMPLETE
65,-0.3,2023-12-12 08:32:53.769728,2023-12-12 08:33:48.458384,0 days 00:00:54.688656,0.10123504313872057,0.9613086684274493,0.00038482597000478314,976,COMPLETE
66,-0.3,2023-12-12 08:33:48.467388,2023-12-12 08:34:42.731208,0 days 00:00:54.263820,0.21030153737933804,0.95486408975613,0.0002843400161906696,1951,COMPLETE
67,-0.4,2023-12-12 08:34:42.739310,2023-12-12 08:35:38.591194,0 days 00:00:55.851884,0.1355923480778558,0.9471560714190945,0.000982953434133562,591,COMPLETE
68,-0.8,2023-12-12 08:35:38.599197,2023-12-12 08:36:33.125684,0 days 00:00:54.526487,0.16507932230276895,0.9674354832836017,0.0006617301509476738,786,COMPLETE
69,-0.3,2023-12-12 08:36:33.133791,2023-12-12 08:37:27.968077,0 days 00:00:54.834286,0.15526954555012634,0.9526820199965719,0.0006109498045194044,788,COMPLETE
70,-0.5,2023-12-12 08:37:27.976083,2023-12-12 08:38:22.933300,0 days 00:00:54.957217,0.16906348157793885,0.9673627866985166,0.0007171060264197096,923,COMPLETE
71,-0.6,2023-12-12 08:38:22.940343,2023-12-12 08:39:17.345143,0 days 00:00:54.404800,0.18458486262193882,0.9731312710716747,0.0004695734214097281,665,COMPLETE
72,-0.4,2023-12-12 08:39:17.354650,2023-12-12 08:40:11.976910,0 days 00:00:54.622260,0.12051837021526962,0.9636539900812046,0.0002062708506864068,1825,COMPLETE
73,-0.5,2023-12-12 08:40:11.983876,2023-12-12 08:41:06.995078,0 days 00:00:55.011202,0.19855402160666236,0.9676309990307229,0.0005048276534826726,749,COMPLETE
74,-0.6,2023-12-12 08:41:07.002082,2023-12-12 08:42:01.926604,0 days 00:00:54.924522,0.14177925636735625,0.9592208357910642,0.00033919386367587485,868,COMPLETE
75,-0.4,2023-12-12 08:42:01.935606,2023-12-12 08:42:56.833079,0 days 00:00:54.897473,0.16496123952046873,0.9525568270498024,0.0006575650115430755,1142,COMPLETE
76,-0.5,2023-12-12 08:42:56.841081,2023-12-12 08:43:51.241902,0 days 00:00:54.400821,0.22704497056842,0.9414926220605176,0.0010992356313582136,1180,COMPLETE
77,-0.6,2023-12-12 08:43:51.248979,2023-12-12 08:44:46.173450,0 days 00:00:54.924471,0.18954698289195088,0.9768872387167294,0.00041330045328158806,1080,COMPLETE
78,-0.5,2023-12-12 08:44:46.182453,2023-12-12 08:45:42.339895,0 days 00:00:56.157442,0.20901339777782402,0.9826319717940513,0.001379774760870095,713,COMPLETE
79,-0.4,2023-12-12 08:45:42.347896,2023-12-12 08:46:36.624315,0 days 00:00:54.276419,0.17822488447006196,0.9727801783838772,0.0007766657343818352,1023,COMPLETE
80,-0.7,2023-12-12 08:46:36.632468,2023-12-12 08:47:31.612420,0 days 00:00:54.979952,0.15040766593401433,0.9623411227577066,0.0001398081347874187,910,COMPLETE
81,-0.3,2023-12-12 08:47:31.620053,2023-12-12 08:48:26.291022,0 days 00:00:54.670969,0.19347373485163452,0.9578345146798685,0.00022547090200515036,1062,COMPLETE
82,-0.4,2023-12-12 08:48:26.299025,2023-12-12 08:49:20.922284,0 days 00:00:54.623259,0.22713405907602335,0.9661677512762991,0.00018987253811521444,987,COMPLETE
83,-0.5,2023-12-12 08:49:20.931285,2023-12-12 08:50:15.818564,0 days 00:00:54.887279,0.13341514123185774,0.969607069341081,0.00030449515267780617,810,COMPLETE
84,-0.8,2023-12-12 08:50:15.827565,2023-12-12 08:51:10.513968,0 days 00:00:54.686403,0.16070570051588157,0.9560251198213612,0.00027040402504155544,1096,COMPLETE
85,-0.6,2023-12-12 08:51:10.521969,2023-12-12 08:52:04.958049,0 days 00:00:54.436080,0.16232913851738762,0.94945336481886,0.00025533236223670394,1237,COMPLETE
86,-0.6,2023-12-12 08:52:04.966052,2023-12-12 08:52:59.567524,0 days 00:00:54.601472,0.15427380383127684,0.9612901874105656,0.000533461011034987,1254,COMPLETE
87,-0.7,2023-12-12 08:52:59.575527,2023-12-12 08:53:54.388968,0 days 00:00:54.813441,0.17399074233949832,0.9648029534142241,0.00039054817000089005,1192,COMPLETE
88,-0.3,2023-12-12 08:53:54.396078,2023-12-12 08:54:48.527567,0 days 00:00:54.131489,0.1211013224318153,0.9564795711900331,0.00016661435399600432,1351,COMPLETE
89,-0.7,2023-12-12 08:54:48.535568,2023-12-12 08:55:43.616434,0 days 00:00:55.080866,0.20381465786600628,0.9538738569309149,0.0001104789343191326,1112,COMPLETE
90,-0.6,2023-12-12 08:55:43.626541,2023-12-12 08:56:38.676872,0 days 00:00:55.050331,0.18480076169162363,0.9469344248381489,0.0004368729555866633,965,COMPLETE
91,-0.3,2023-12-12 08:56:38.684035,2023-12-12 08:57:33.493271,0 days 00:00:54.809236,0.19396434110924685,0.9574885900741568,0.00020942172963584098,1041,COMPLETE
92,-0.2,2023-12-12 08:57:33.500272,2023-12-12 08:58:28.281259,0 days 00:00:54.780987,0.14215361403383783,0.9594272580646908,0.0002851779036264579,1140,COMPLETE
93,-0.6,2023-12-12 08:58:28.289444,2023-12-12 08:59:23.196481,0 days 00:00:54.907037,0.16748939964109305,0.9691008128018838,0.0006108316734730198,1079,COMPLETE
94,-0.5,2023-12-12 08:59:23.203481,2023-12-12 09:00:18.165720,0 days 00:00:54.962239,0.13017426713036645,0.9634046341214301,0.0002378657966906685,882,COMPLETE
95,-0.5,2023-12-12 09:00:18.173782,2023-12-12 09:01:13.165783,0 days 00:00:54.992001,0.15655808364323354,0.9609972061590645,0.0003631276197201987,1002,COMPLETE
96,-0.2,2023-12-12 09:01:13.175785,2023-12-12 09:02:07.944767,0 days 00:00:54.768982,0.17711915619026444,0.9666976733921566,0.0001861567345207763,846,COMPLETE
97,-0.6,2023-12-12 09:02:07.951769,2023-12-12 09:03:02.904142,0 days 00:00:54.952373,0.2160758308356031,0.9559372255961911,0.0002787124199606403,1287,COMPLETE
98,-0.6,2023-12-12 09:03:02.913144,2023-12-12 09:03:57.690061,0 days 00:00:54.776917,0.18952028804858292,0.9720215644197562,0.00015322240409138154,1056,COMPLETE
99,-0.6,2023-12-12 09:03:57.699063,2023-12-12 09:04:52.566638,0 days 00:00:54.867575,0.20550339317604738,0.9506089697763576,0.0003456068517057647,949,COMPLETE
