number,value,datetime_start,datetime_complete,duration,params_A2C_n_steps,params_gamma,params_learning_rate,params_vf_coef,state
51,-500.0,2023-12-11 23:01:11.340300,2023-12-11 23:02:23.407674,0 days 00:01:12.067374,497,0.9642158409634742,0.004176476233931265,0.44066879172994505,COMPLETE
52,-473.4,2023-12-11 23:02:23.415675,2023-12-11 23:03:35.636803,0 days 00:01:12.221128,475,0.9685068782771264,0.006920983975403558,0.46127918106599597,COMPLETE
53,-500.0,2023-12-11 23:03:35.644795,2023-12-11 23:04:47.505001,0 days 00:01:11.860206,481,0.9569559166975417,0.003679264706382821,0.47276118558229663,COMPLETE
54,-9.0,2023-12-11 23:04:47.512993,2023-12-11 23:05:58.803695,0 days 00:01:11.290702,327,0.9724476732941482,0.004652521203746242,0.4008932656230294,COMPLETE
55,-500.0,2023-12-11 23:05:58.811701,2023-12-11 23:07:10.946617,0 days 00:01:12.134916,430,0.9632065193543037,0.0029396237865447054,0.3726963621393658,COMPLETE
56,-500.0,2023-12-11 23:07:10.953633,2023-12-11 23:08:25.908729,0 days 00:01:14.955096,187,0.9522763356220584,0.0014153396869915154,0.429924230207131,COMPLETE
57,-500.0,2023-12-11 23:08:25.915720,2023-12-11 23:09:37.889327,0 days 00:01:11.973607,459,0.9779103248134823,0.002840637285496163,0.4070674914873713,COMPLETE
58,-137.5,2023-12-11 23:09:37.896320,2023-12-11 23:10:48.868731,0 days 00:01:10.972411,431,0.9801340330887686,0.009024520166503987,0.2987054277797268,COMPLETE
59,-500.0,2023-12-11 23:10:48.875731,2023-12-11 23:12:02.079980,0 days 00:01:13.204249,379,0.9709510131232301,0.005893240893428653,0.3473535156713362,COMPLETE
60,-500.0,2023-12-11 23:12:02.088058,2023-12-11 23:13:20.567497,0 days 00:01:18.479439,64,0.9595266836266143,0.0019911632429463495,0.3242525430126625,COMPLETE
61,-500.0,2023-12-11 23:13:20.574489,2023-12-11 23:14:32.550353,0 days 00:01:11.975864,498,0.9664895047779799,0.0019405460078491948,0.4226489728776092,COMPLETE
62,-500.0,2023-12-11 23:14:32.558345,2023-12-11 23:15:45.244143,0 days 00:01:12.685798,447,0.9731512030715459,0.002667361363161131,0.41122483692211587,COMPLETE
63,-500.0,2023-12-11 23:15:45.252145,2023-12-11 23:17:00.367176,0 days 00:01:15.115031,169,0.9600528158601023,0.00137244761049925,0.3860156201184385,COMPLETE
64,-500.0,2023-12-11 23:17:00.375177,2023-12-11 23:18:13.019714,0 days 00:01:12.644537,395,0.968935020133606,0.0033242761275983127,0.43501726519904704,COMPLETE
65,-500.0,2023-12-11 23:18:13.026705,2023-12-11 23:19:24.772330,0 days 00:01:11.745625,488,0.9643513715792321,0.0020667450517141673,0.3669567614655561,COMPLETE
66,-500.0,2023-12-11 23:19:24.780465,2023-12-11 23:20:38.748723,0 days 00:01:13.968258,451,0.9670781114810654,0.004629106775118865,0.4226473505910528,COMPLETE
67,-500.0,2023-12-11 23:20:38.755714,2023-12-11 23:21:55.135696,0 days 00:01:16.379982,124,0.9742451613071882,0.0017122883215148123,0.45474434019391036,COMPLETE
68,-500.0,2023-12-11 23:21:55.144697,2023-12-11 23:23:08.959505,0 days 00:01:13.814808,295,0.9836751344012866,0.0024611175897177352,0.4715448555204973,COMPLETE
69,-103.2,2023-12-11 23:23:08.967500,2023-12-11 23:24:19.629654,0 days 00:01:10.662154,423,0.9712184219770514,0.0053866054803830155,0.4449744792870021,COMPLETE
70,-500.0,2023-12-11 23:24:19.637657,2023-12-11 23:25:32.135459,0 days 00:01:12.497802,466,0.9342953227941724,0.0037374585833847796,0.33126311047973767,COMPLETE
71,-500.0,2023-12-11 23:25:32.142450,2023-12-11 23:26:45.211045,0 days 00:01:13.068595,373,0.9766991611180947,0.007192291817702767,0.49062051375816035,COMPLETE
