number,value,datetime_start,datetime_complete,duration,params_PPO_n_steps,params_ent_coef,params_gamma,params_learning_rate,state
87,-500.0,2023-12-11 21:26:26.718517,2023-12-11 21:28:40.530204,0 days 00:02:13.811687,1024,3.6086004624623255e-05,0.9924508806638148,0.0005004460109425588,COMPLETE
88,-500.0,2023-12-11 21:28:40.538196,2023-12-11 21:30:57.625428,0 days 00:02:17.087232,256,8.760142106077914e-05,0.9781830662331514,0.00033124915359620687,COMPLETE
89,-500.0,2023-12-11 21:30:57.632534,2023-12-11 21:33:12.747214,0 days 00:02:15.114680,448,0.00013487778846938415,0.998634262447977,0.0006661862479203114,COMPLETE
90,-420.6,2023-12-11 21:33:12.754218,2023-12-11 21:35:28.442140,0 days 00:02:15.687922,384,2.4020247211033183e-05,0.9951498209587066,0.00014362402012336098,COMPLETE
91,-500.0,2023-12-11 21:35:28.449142,2023-12-11 21:37:42.324967,0 days 00:02:13.875825,960,0.0004653875940125353,0.9563338842984124,0.00022697808195164753,COMPLETE
92,-500.0,2023-12-11 21:37:42.332465,2023-12-11 21:39:55.184640,0 days 00:02:12.852175,896,0.00036304764774699213,0.9588977314292526,0.0001809412355719284,COMPLETE
93,-500.0,2023-12-11 21:39:55.192706,2023-12-11 21:42:08.674777,0 days 00:02:13.482071,896,0.00027264353364705914,0.9523317834371602,9.596927948172493e-05,COMPLETE
94,-500.0,2023-12-11 21:42:08.682769,2023-12-11 21:44:21.747924,0 days 00:02:13.065155,896,0.0006401034161734228,0.9501003057507637,0.00016108874500629191,COMPLETE
95,-500.0,2023-12-11 21:44:21.754925,2023-12-11 21:46:36.228874,0 days 00:02:14.473949,768,0.0003882554652141195,0.9540933008227614,0.0001262748036544486,COMPLETE
96,-500.0,2023-12-11 21:46:36.236872,2023-12-11 21:48:50.603399,0 days 00:02:14.366527,704,0.0005071868354485396,0.9688180667946307,7.945933415545484e-05,COMPLETE
97,-318.0,2023-12-11 21:48:50.610391,2023-12-11 21:51:07.169026,0 days 00:02:16.558635,128,0.0002686447172796391,0.9902380550236066,0.00025352087932307434,COMPLETE
98,-500.0,2023-12-11 21:51:07.177027,2023-12-11 21:53:21.452364,0 days 00:02:14.275337,832,0.00018649328863467495,0.9573067824033571,0.00020874625058382523,COMPLETE
99,-500.0,2023-12-11 21:53:21.460365,2023-12-11 21:55:36.132097,0 days 00:02:14.671732,768,0.00022818112473721257,0.9935203767033949,0.0003122654695534612,COMPLETE
