number,value,datetime_start,datetime_complete,duration,params_A2C_n_steps,params_gamma,params_learning_rate,params_vf_coef,state,Environment,Agent,params_exploration_fraction,params_target_update_interval,params_PPO_n_steps,params_ent_coef
39,-500.0,2023-12-11 22:45:11.004472,2023-12-11 22:46:27.852526,0 days 00:01:16.848054,100.0,0.935089840120621,0.0038426595511428,0.3191788708980636,COMPLETE,CartPole-v1,A2C,,,,
40,-133.4,2023-12-11 22:46:27.860527,2023-12-11 22:47:38.563322,0 days 00:01:10.702795,469.0,0.9557412167339,0.0002852671265886,0.2852761032491213,COMPLETE,CartPole-v1,A2C,,,,
41,-500.0,2023-12-11 22:47:38.571322,2023-12-11 22:48:56.200619,0 days 00:01:17.629297,89.0,0.9399500001881866,0.0024497307758907,0.3002637499246847,COMPLETE,CartPole-v1,A2C,,,,
42,-182.0,2023-12-11 22:48:56.208718,2023-12-11 22:50:17.218753,0 days 00:01:21.010035,40.0,0.936857690627941,0.001164044430128,0.2562568942398483,COMPLETE,CartPole-v1,A2C,,,,
43,-271.6,2023-12-11 22:50:17.226756,2023-12-11 22:51:43.079170,0 days 00:01:25.852414,26.0,0.9297047224229568,0.003143302848922,0.2139054737650487,COMPLETE,CartPole-v1,A2C,,,,
44,-500.0,2023-12-11 22:51:43.086172,2023-12-11 22:53:01.168598,0 days 00:01:18.082426,76.0,0.9494667689092,0.0044848834080559,0.3522355072421115,COMPLETE,CartPole-v1,A2C,,,,
45,-140.8,2023-12-11 22:53:01.176600,2023-12-11 22:54:15.207245,0 days 00:01:14.030645,142.0,0.925482692580255,0.007650936912183,0.3070358195075574,COMPLETE,CartPole-v1,A2C,,,,
46,-500.0,2023-12-11 22:54:15.215346,2023-12-11 22:56:06.982122,0 days 00:01:51.766776,9.0,0.9868749290636236,0.0014667977390626,0.3910203118437674,COMPLETE,CartPole-v1,A2C,,,,
47,-500.0,2023-12-11 22:56:06.991125,2023-12-11 22:57:23.493285,0 days 00:01:16.502160,104.0,0.9316136219061356,0.0008672276254233,0.3417604552371426,COMPLETE,CartPole-v1,A2C,,,,
48,-205.7,2023-12-11 22:57:23.500288,2023-12-11 22:58:36.724250,0 days 00:01:13.223962,221.0,0.917268141014139,0.0028324947846524,0.1523324460941652,COMPLETE,CartPole-v1,A2C,,,,
49,-500.0,2023-12-11 22:58:36.731252,2023-12-11 22:59:49.139189,0 days 00:01:12.407937,429.0,0.9430839084644734,0.0020794647310311,0.3187271827735951,COMPLETE,CartPole-v1,A2C,,,,
50,-262.2,2023-12-11 22:59:49.146185,2023-12-11 23:01:11.333297,0 days 00:01:22.187112,35.0,0.9235881645825892,0.0017967457443788,0.2767380877089418,COMPLETE,CartPole-v1,A2C,,,,
51,-500.0,2023-12-11 23:01:11.340300,2023-12-11 23:02:23.407674,0 days 00:01:12.067374,497.0,0.9642158409634742,0.0041764762339312,0.440668791729945,COMPLETE,CartPole-v1,A2C,,,,
