number,value,datetime_start,datetime_complete,duration,params_exploration_fraction,params_gamma,params_learning_rate,params_target_update_interval,state
65,200.0,2023-12-12 16:38:30.024638,2023-12-12 16:39:24.334956,0 days 00:00:54.310318,0.44239700636456714,0.9566435281551012,0.0018387739620231314,1263,COMPLETE
66,200.0,2023-12-12 16:39:24.341947,2023-12-12 16:40:18.715879,0 days 00:00:54.373932,0.36646068746611504,0.9608428146227546,0.005970864411167211,1851,COMPLETE
67,200.0,2023-12-12 16:40:18.722881,2023-12-12 16:41:13.127735,0 days 00:00:54.404854,0.321931857282799,0.9690373229388711,0.0029403835090994466,800,COMPLETE
68,200.0,2023-12-12 16:41:13.137839,2023-12-12 16:42:07.299355,0 days 00:00:54.161516,0.4547296871660339,0.9525183030005464,0.008280776048563372,1305,COMPLETE
69,200.0,2023-12-12 16:42:07.307492,2023-12-12 16:43:01.568102,0 days 00:00:54.260610,0.48610167295431334,0.9469853400216399,0.0015695786251969717,1653,COMPLETE
70,200.0,2023-12-12 16:43:01.576105,2023-12-12 16:43:55.856567,0 days 00:00:54.280462,0.39782674270835106,0.9572769068682936,0.0024731845431962547,1416,COMPLETE
71,200.0,2023-12-12 16:43:55.863570,2023-12-12 16:44:49.882849,0 days 00:00:54.019279,0.4550513419671889,0.9046496939850928,0.000673583188160692,1567,COMPLETE
72,200.0,2023-12-12 16:44:49.890848,2023-12-12 16:45:45.669870,0 days 00:00:55.779022,0.49252577413816717,0.9799705024282319,0.0011985685921748332,1908,COMPLETE
73,200.0,2023-12-12 16:45:45.677872,2023-12-12 16:46:40.300082,0 days 00:00:54.622210,0.4233205115241501,0.9419842003398008,0.0008468865609302318,1466,COMPLETE
74,200.0,2023-12-12 16:46:40.307084,2023-12-12 16:47:34.909134,0 days 00:00:54.602050,0.4998841048820286,0.953858867577848,0.000512537650346172,1017,COMPLETE
75,200.0,2023-12-12 16:47:34.918136,2023-12-12 16:48:29.666955,0 days 00:00:54.748819,0.3332898342226704,0.9627691515371765,0.003764096169943699,1250,COMPLETE
76,200.0,2023-12-12 16:48:29.673957,2023-12-12 16:49:24.044393,0 days 00:00:54.370436,0.3546127617843457,0.9859870487923686,0.0016289356819091368,1806,COMPLETE
77,200.0,2023-12-12 16:49:24.053394,2023-12-12 16:50:18.851804,0 days 00:00:54.798410,0.3839515812785081,0.9474207018423393,0.0022413775517339985,1498,COMPLETE
78,200.0,2023-12-12 16:50:18.859871,2023-12-12 16:51:13.493603,0 days 00:00:54.633732,0.29507483138058926,0.9392155135959334,0.0003444520798478077,1743,COMPLETE
79,200.0,2023-12-12 16:51:13.501605,2023-12-12 16:52:07.866718,0 days 00:00:54.365113,0.41446826102084655,0.9750884740937081,0.00040064191165509606,1614,COMPLETE
80,200.0,2023-12-12 16:52:07.873709,2023-12-12 16:53:02.164004,0 days 00:00:54.290295,0.47598089501074503,0.9485354045844415,0.000162694013306659,1303,COMPLETE
81,200.0,2023-12-12 16:53:02.172004,2023-12-12 16:53:56.858453,0 days 00:00:54.686449,0.3172626632964908,0.9524950427856488,0.002555433279539986,676,COMPLETE
82,200.0,2023-12-12 16:53:56.868459,2023-12-12 16:54:51.083717,0 days 00:00:54.215258,0.3318685590494341,0.9493347813214872,0.0038836852681765547,1370,COMPLETE
83,200.0,2023-12-12 16:54:51.091720,2023-12-12 16:55:46.233442,0 days 00:00:55.141722,0.36850793541697313,0.9560521439700036,0.0021462165006388366,659,COMPLETE
84,200.0,2023-12-12 16:55:46.240445,2023-12-12 16:56:41.169163,0 days 00:00:54.928718,0.39927961766627834,0.9433723038514636,0.001495277629182699,601,COMPLETE
85,200.0,2023-12-12 16:56:41.177166,2023-12-12 16:57:35.764416,0 days 00:00:54.587250,0.4627489361970111,0.9373846695334325,0.005788492288545268,1437,COMPLETE
86,200.0,2023-12-12 16:57:35.771419,2023-12-12 16:58:30.345958,0 days 00:00:54.574539,0.34732450896566625,0.9295269741730737,0.00929490672141276,832,COMPLETE
87,200.0,2023-12-12 16:58:30.354960,2023-12-12 16:59:25.158672,0 days 00:00:54.803712,0.30702606712394054,0.9586441603820395,0.0020166001586852315,2000,COMPLETE
88,200.0,2023-12-12 16:59:25.167915,2023-12-12 17:00:19.817443,0 days 00:00:54.649528,0.2838109484825818,0.9446638187357277,0.0013481795966462547,1095,COMPLETE
89,200.0,2023-12-12 17:00:19.827444,2023-12-12 17:01:14.427815,0 days 00:00:54.600371,0.36405617031183213,0.9710311826760648,0.0010125106067668636,514,COMPLETE
90,200.0,2023-12-12 17:01:14.434965,2023-12-12 17:02:09.067928,0 days 00:00:54.632963,0.32551136210461074,0.9498989964544414,0.003791238859124073,1527,COMPLETE
91,200.0,2023-12-12 17:02:09.076933,2023-12-12 17:03:03.896238,0 days 00:00:54.819305,0.43330681937594345,0.9438992587652176,0.0002684962817004563,948,COMPLETE
92,200.0,2023-12-12 17:03:03.906242,2023-12-12 17:03:58.279023,0 days 00:00:54.372781,0.44874539340397956,0.9664533994808985,0.0003013770545392325,758,COMPLETE
93,200.0,2023-12-12 17:03:58.287025,2023-12-12 17:04:52.747732,0 days 00:00:54.460707,0.37740140240990283,0.9454510528455937,0.0003803992135127977,1175,COMPLETE
94,200.0,2023-12-12 17:04:52.754724,2023-12-12 17:05:47.814199,0 days 00:00:55.059475,0.4792506952931776,0.9409189533075614,0.00021741536822542638,1890,COMPLETE
95,200.0,2023-12-12 17:05:47.822203,2023-12-12 17:06:42.328652,0 days 00:00:54.506449,0.4687563655067123,0.9969492183837056,0.0004634991829534972,905,COMPLETE
96,200.0,2023-12-12 17:06:42.337653,2023-12-12 17:07:37.252587,0 days 00:00:54.914934,0.3405315539007306,0.9508111756396129,0.0017131308025389866,862,COMPLETE
97,200.0,2023-12-12 17:07:37.260589,2023-12-12 17:08:32.286972,0 days 00:00:55.026383,0.35157615415907634,0.9471306957427874,0.00014032240828947557,985,COMPLETE
98,200.0,2023-12-12 17:08:32.294063,2023-12-12 17:09:26.891243,0 days 00:00:54.597180,0.44135954670849076,0.9920924191087189,0.0027886467922853524,576,COMPLETE
99,200.0,2023-12-12 17:09:26.899752,2023-12-12 17:10:21.195003,0 days 00:00:54.295251,0.4603102378637898,0.9643607745484655,0.0002592135983212323,1225,COMPLETE
